"filename", "language", "C#", "XML", "Markdown", "JSON", "comment", "blank", "total"
"/Users/admin/mysrcs/AdminApprovalBack/Data/Entity/Approval/ApprovalTableOrganizeEntity.cs", "C#", 13, 0, 0, 0, 0, 2, 15
"/Users/admin/mysrcs/AdminApprovalBack/Data/Entity/Approval/InfoClassEntity.cs", "C#", 22, 0, 0, 0, 0, 3, 25
"/Users/admin/mysrcs/AdminApprovalBack/Data/Entity/Business/ApprovalInstanceEntity.cs", "C#", 18, 0, 0, 0, 0, 5, 23
"/Users/admin/mysrcs/AdminApprovalBack/Data/Entity/Business/InfoInstanceEntity.cs", "C#", 27, 0, 0, 0, 0, 3, 30
"/Users/admin/mysrcs/AdminApprovalBack/Data/Entity/SystemManage/OrganizeCategoryEntity.cs", "C#", 20, 0, 0, 0, 0, 4, 24
"/Users/admin/mysrcs/AdminApprovalBack/Data/Entity/SystemManage/OrganizeEntity.cs", "C#", 37, 0, 0, 0, 9, 8, 54
"/Users/admin/mysrcs/AdminApprovalBack/Data/Entity/SystemManage/RoleEntity.cs", "C#", 28, 0, 0, 0, 0, 3, 31
"/Users/admin/mysrcs/AdminApprovalBack/Data/Entity/SystemManage/UserEntity.cs", "C#", 22, 0, 0, 0, 6, 7, 35
"/Users/admin/mysrcs/AdminApprovalBack/Data/Entity/SystemManage/UserOrganizeEntity.cs", "C#", 20, 0, 0, 0, 0, 3, 23
"/Users/admin/mysrcs/AdminApprovalBack/Data/Entity/SystemSecurity/DbBackupEntity.cs", "C#", 16, 0, 0, 0, 0, 2, 18
"/Users/admin/mysrcs/AdminApprovalBack/Data/Entity/SystemSecurity/LogEntity.cs", "C#", 15, 0, 0, 0, 18, 10, 43
"/Users/admin/mysrcs/AdminApprovalBack/Data/Infrastructure/DbLogType.cs", "C#", 30, 0, 0, 0, 0, 2, 32
"/Users/admin/mysrcs/AdminApprovalBack/Data/Infrastructure/EntityTypeConfiguration.cs", "C#", 15, 0, 0, 0, 0, 3, 18
"/Users/admin/mysrcs/AdminApprovalBack/Data/Infrastructure/IEntity.cs", "C#", 25, 0, 0, 0, 6, 5, 36
"/Users/admin/mysrcs/AdminApprovalBack/Data/Infrastructure/ITreeEntity.cs", "C#", 13, 0, 0, 0, 0, 2, 15
"/Users/admin/mysrcs/AdminApprovalBack/Data/Migrations/20210404133820_InitialCreate.Designer.cs", "C#", 887, 0, 0, 0, 1, 396, 1284
"/Users/admin/mysrcs/AdminApprovalBack/Data/Migrations/20210404133820_InitialCreate.cs", "C#", 984, 0, 0, 0, 0, 93, 1077
"/Users/admin/mysrcs/AdminApprovalBack/Data/Migrations/20210404135103_Avatar.Designer.cs", "C#", 886, 0, 0, 0, 1, 396, 1283
"/Users/admin/mysrcs/AdminApprovalBack/Data/Migrations/20210404135103_Avatar.cs", "C#", 29, 0, 0, 0, 0, 3, 32
"/Users/admin/mysrcs/AdminApprovalBack/Data/Migrations/20210406155510_OptionalParentId.Designer.cs", "C#", 887, 0, 0, 0, 1, 396, 1284
"/Users/admin/mysrcs/AdminApprovalBack/Data/Migrations/20210406155510_OptionalParentId.cs", "C#", 33, 0, 0, 0, 0, 5, 38
"/Users/admin/mysrcs/AdminApprovalBack/Data/Migrations/20210407042839_ModifyRoleMenuTable.Designer.cs", "C#", 765, 0, 0, 0, 1, 340, 1106
"/Users/admin/mysrcs/AdminApprovalBack/Data/Migrations/20210407042839_ModifyRoleMenuTable.cs", "C#", 161, 0, 0, 0, 0, 16, 177
"/Users/admin/mysrcs/AdminApprovalBack/Data/Migrations/20210407052320_AddAvailableApprovals.Designer.cs", "C#", 768, 0, 0, 0, 1, 341, 1110
"/Users/admin/mysrcs/AdminApprovalBack/Data/Migrations/20210407052320_AddAvailableApprovals.cs", "C#", 21, 0, 0, 0, 0, 3, 24
"/Users/admin/mysrcs/AdminApprovalBack/Data/Migrations/20210407160417_InfoClassReusable.Designer.cs", "C#", 770, 0, 0, 0, 1, 342, 1113
"/Users/admin/mysrcs/AdminApprovalBack/Data/Migrations/20210407160417_InfoClassReusable.cs", "C#", 22, 0, 0, 0, 0, 3, 25
"/Users/admin/mysrcs/AdminApprovalBack/Data/Migrations/20210408052356_UpdateInfoClass.Designer.cs", "C#", 773, 0, 0, 0, 1, 343, 1117
"/Users/admin/mysrcs/AdminApprovalBack/Data/Migrations/20210408052356_UpdateInfoClass.cs", "C#", 29, 0, 0, 0, 0, 5, 34
"/Users/admin/mysrcs/AdminApprovalBack/Data/Migrations/20210408120307_UpdateApprovalTable.Designer.cs", "C#", 684, 0, 0, 0, 1, 298, 983
"/Users/admin/mysrcs/AdminApprovalBack/Data/Migrations/20210408120307_UpdateApprovalTable.cs", "C#", 228, 0, 0, 0, 0, 29, 257
"/Users/admin/mysrcs/AdminApprovalBack/Data/Migrations/20210408134433_UpdateInfoClasses.Designer.cs", "C#", 697, 0, 0, 0, 1, 301, 999
"/Users/admin/mysrcs/AdminApprovalBack/Data/Migrations/20210408134433_UpdateInfoClasses.cs", "C#", 67, 0, 0, 0, 0, 10, 77
"/Users/admin/mysrcs/AdminApprovalBack/Data/Migrations/20210408142949_UpdateApprovalTableMulti2Multi.Designer.cs", "C#", 773, 0, 0, 0, 1, 343, 1117
"/Users/admin/mysrcs/AdminApprovalBack/Data/Migrations/20210408142949_UpdateApprovalTableMulti2Multi.cs", "C#", 215, 0, 0, 0, 0, 21, 236
"/Users/admin/mysrcs/AdminApprovalBack/Data/Migrations/AabDbContextModelSnapshot.cs", "C#", 771, 0, 0, 0, 1, 343, 1115
"/Users/admin/mysrcs/AdminApprovalBack/Data/RepositoryBase/IRepository.cs", "C#", 26, 0, 0, 0, 0, 2, 28
"/Users/admin/mysrcs/AdminApprovalBack/Data/RepositoryBase/Repository.cs", "C#", 80, 0, 0, 0, 4, 14, 98
"/Users/admin/mysrcs/AdminApprovalBack/Service/App/RepoService.cs", "C#", 78, 0, 0, 0, 0, 11, 89
"/Users/admin/mysrcs/AdminApprovalBack/Service/App/SystemManage/UserService.cs", "C#", 95, 0, 0, 0, 0, 19, 114
"/Users/admin/mysrcs/AdminApprovalBack/Service/App/SystemSecurity/DbBackupService.cs", "C#", 94, 0, 0, 0, 0, 11, 105
"/Users/admin/mysrcs/AdminApprovalBack/Service/App/SystemSecurity/LogService.cs", "C#", 89, 0, 0, 0, 0, 4, 93
"/Users/admin/mysrcs/AdminApprovalBack/Service/Login/LoginExtension.cs", "C#", 56, 0, 0, 0, 0, 6, 62
"/Users/admin/mysrcs/AdminApprovalBack/Service/Login/UserInformation.cs", "C#", 17, 0, 0, 0, 6, 4, 27
"/Users/admin/mysrcs/AdminApprovalBack/Service/Service.csproj", "XML", 0, 15, 0, 0, 0, 5, 20
"/Users/admin/mysrcs/AdminApprovalBack/Service/ServiceConfigExtension.cs", "C#", 26, 0, 0, 0, 0, 5, 31
"/Users/admin/mysrcs/AdminApprovalBack/Service/VerifyCodeService.cs", "C#", 83, 0, 0, 0, 0, 10, 93
"Total", "-", 13630, 125, 119, 43, 399, 4569, 18885
